  [System Process]
 4 System
4 228 Registry
4 752 smss.exe
924 840 csrss.exe
924 1112 wininit.exe
1100 1120 csrss.exe
1100 1212 winlogon.exe
1112 1232 services.exe
1112 1284 lsass.exe
1232 1404 svchost.exe
1112 1432 fontdrvhost.exe
1212 1440 fontdrvhost.exe
1232 1488 WUDFHost.exe
1232 1580 svchost.exe
1232 1624 svchost.exe
1212 1708 dwm.exe
1232 1816 svchost.exe
1232 1844 svchost.exe
1232 1852 svchost.exe
1232 1880 svchost.exe
1232 1952 svchost.exe
1232 2000 svchost.exe
1232 920 svchost.exe
1232 2104 svchost.exe
1232 2116 svchost.exe
1232 2128 svchost.exe
1232 2192 svchost.exe
1232 2268 IntelCpHDCPSvc.exe
1232 2280 svchost.exe
1232 2292 svchost.exe
1232 2364 svchost.exe
1232 2380 svchost.exe
1232 2532 svchost.exe
1232 2552 svchost.exe
1232 2600 svchost.exe
1232 2788 svchost.exe
1232 2924 svchost.exe
1232 2712 svchost.exe
1232 3132 svchost.exe
1232 3140 svchost.exe
1232 3160 svchost.exe
4 3296 Memory Compression
1232 3372 svchost.exe
1232 3400 svchost.exe
1232 3408 svchost.exe
1232 3416 svchost.exe
1232 3508 svchost.exe
1232 3544 svchost.exe
1232 3644 svchost.exe
1232 3808 svchost.exe
1232 3832 svchost.exe
1232 3840 AsusOptimization.exe
1232 3976 spoolsv.exe
1232 4088 svchost.exe
1232 3532 svchost.exe
3808 4204 wlanext.exe
4204 4212 conhost.exe
1232 4432 AsusAppService.exe
1232 4460 AsusLinkRemote.exe
1232 4472 AsusSwitch.exe
1232 4480 AsusLinkNear.exe
1232 4488 svchost.exe
1232 4496 AsusSoftwareManager.exe
1232 4512 svchost.exe
1232 4520 DtsApo4Service.exe
1232 4528 svchost.exe
1232 4536 ELANFPService.exe
1232 4544 WMIRegistrationService.exe
1232 4552 svchost.exe
1232 4564 servicehost.exe
1232 4572 AsusSystemAnalysis.exe
1232 4580 IntelAudioService.exe
1232 4588 RstMwService.exe
1232 4596 RtkAudUService64.exe
1232 4604 rsSyncSvc.exe
1232 4612 ipfsvc.exe
1232 4620 rsDNSResolver.exe
1232 4640 RvControlSvc.exe
1232 4676 svchost.exe
1232 4684 OneApp.IGCC.WinService.exe
1232 4696 rsEngineSvc.exe
1232 4712 svchost.exe
1232 4744 rsWSC.exe
1232 4752 jhi_service.exe
1232 4764 svchost.exe
1232 4784 AsusSystemDiagnosis.exe
1232 4792 rsClientSvc.exe
1232 4816 TeamViewer_Service.exe
1232 4824 rsDNSClientSvc.exe
1232 4836 rsDNSSvc.exe
1232 5012 svchost.exe
4512 6660 AggregatorHost.exe
1404 6888 RtkAudUService64.exe
1404 6944 WmiPrvSE.exe
1232 7568 svchost.exe
1232 6036 svchost.exe
3840 8088 AsusOptimizationStartupTask.exe
4564 8148 uihost.exe
2280 7584 sihost.exe
1232 8100 svchost.exe
1232 8292 svchost.exe
1232 8464 svchost.exe
920 8516 taskhostw.exe
1232 8616 svchost.exe
7388 8388 explorer.exe
1232 8816 svchost.exe
1232 9600 svchost.exe
1232 9728 svchost.exe
1404 9656 SearchHost.exe
1404 9708 StartMenuExperienceHost.exe
1404 10020 Widgets.exe
1404 10084 RuntimeBroker.exe
1404 9448 RuntimeBroker.exe
1232 5340 svchost.exe
1232 10372 svchost.exe
1232 10600 svchost.exe
8540 11120 GoogleCrashHandler.exe
8540 11140 GoogleCrashHandler64.exe
1404 8836 dllhost.exe
1404 8564 ShellExperienceHost.exe
1404 11592 RuntimeBroker.exe
3544 11932 ctfmon.exe
8388 11436 OneDrive.exe
1232 11772 svchost.exe
1232 11824 SearchIndexer.exe
1232 12448 svchost.exe
13144 12516 rsAppUI.exe
13152 12500 Discord.exe
4696 13540 rsHelper.exe
12516 14000 rsAppUI.exe
14124 14144 rsAppUI.exe
12500 14176 Discord.exe
12500 14060 Discord.exe
12500 10176 Discord.exe
12516 14920 rsAppUI.exe
12500 14116 Discord.exe
14144 15544 rsAppUI.exe
12516 16784 rsAppUI.exe
8388 16836 WebexHost.exe
16836 16968 atmgr.exe
12500 8696 Discord.exe
14144 17028 rsAppUI.exe
17560 17708 msteams.exe
14144 17832 rsAppUI.exe
17792 18144 RvRvpnGui.exe
1404 18188 RuntimeBroker.exe
17708 18328 msedgewebview2.exe
